programme_name_corecat,programme_name_pes,programme_name_sales,genre,subgenre,synopsis,pes_views,revenue
The Story of SM:TV Live,The Story of SM:TV Live,THE STORY OF SM:TV LIVE,Entertainment,Entertainment,"To celebrate 30 years on TV, Ant and Dec reunite with Cat Deeley to reminisce on the hit Saturday morning TV show that catapulted their careers into stardom.",90627,2000.0
Ghost Bus Tours,Ghost Bus Tours,,Entertainment,Entertainment,"A terrifying travelogue in which Lady Leshurr, Darren Harriott and Jordan Davies go on a ghost hunting mission in one of Eastern Europe's most haunted places, Kerotas Prison.",11621,
#MyPride,#MyPride,,Lifestyle,Entertainment,#MyPride a new six-part digital series.,26568,
Bless This House,Bless This House,BLESS THIS HOUSE,Religion,Entertainment,"Elaine Willcox visits traditional and unusual religious buildings and places of worship in North West England, to find out what goes on inside.",144737,32025.0
Dino Dana,Dino Dana,,Childrens,Entertainment,"Introducing Dino Dana, a spunky eight year old paleontolgist 'in training' who eats, sleeps and breathes dinos so much that her dad made her a special backpack that she can transform to look like any dinosaur she wants.",135990,
Drama Vs Reality,Drama Vs Reality,,Entertainment,Entertainment,"In our brand new ITV Hub campaign, we see Drama and reality stars go up against each other in the ultimate fight for your attention. Who will win? Watch now to find out.",39507,
Strangers,Strangers,,Drama,Entertainment,"Jonah Mulray lives an ordinary life as a professor until he is told that his wife has been murdered, and as a consequence he begins to uncover a wider conspiracy.",1572958,
Wombles,,WOMBLES,Childrens,Entertainment,"The adventures of the Wombles, the furry and lovable litter-pickers of Wimbledon Common.",,6240.4200000000037
Puddle Lane,,PUDDLE LANE,Childrens,Entertainment,"A host of delightful puppet characters, including a spell dragon and a magic cauldron feature in this successful series set in a fantastical world where an oblivious magician oversees all escapades.",,500.0
Max & Shred,Max & Shred,,Childrens,Entertainment,"Sitcom about an unlikely friendship between Max Asher, a celebrity snowboarder, and Alvin 'Shred' Ackerman, a science whiz.",23759,
Hairy Bikers' Go Local,,HAIRY BIKERS' GO LOCAL,Entertainment,Entertainment,,,500.5
Unwind With ITV,Unwind With ITV,,Factual,Entertainment,Your daily escape designed to calm the mind and encourage relaxation and reflection.,2673,
Scrambled! Bites,Scrambled! Bites,,Childrens,Entertainment,Best bits from the Scrambled! gang.,10455,
Wizadora,,WIZADORA,Childrens,Entertainment,"Live-action puppet series featuring characters such as Hangle the coat hanger, the Drawer People and Wizadora, a trainee witch.",,272.0
Bling,Bling,,Entertainment,Entertainment,"Gok Wan hosts as experts help members of the public fix, create, sell or find their dream jewellery items.",37861,
Jonathan Ross' Comedy Club,Jonathan Ross' Comedy Club,JONATHAN ROSS' COMEDY CLUB,Entertainment,Entertainment,In this brand-new comedy show Jonathan and his co-host comedian Mawaan Rizwan are joined by the most exciting new stand-ups in the UK.,50529,0.0
Dare Master @Home,Dare Master @Home,,Childrens,Entertainment,"CITV's 10-part entertainment series Dare Master at Home sees our Dare Master, Danny Murphy, tackle three challenges per episode that you can try for yourself. As always, the cream pie forfeit is waiting should he fail to complete the challenges!",33937,
Best Cake Wins,Best Cake Wins,,Entertainment,Entertainment,Top bakers from across the United States create birthday cakes and compete against each other to impress the panel of expert judges.,101567,
Mission Employable,Mission Employable,,Childrens,Entertainment,"Agents of the Mission Employable Agency go behind-the-scenes across some of the most important industries out there as they try their hands at various professions, and must face the everyday challenges that each job entails.",40400,
Claude,Claude,,Childrens,Entertainment,"Based on the best-selling series of books by Alex T. Smith, Claude follows the adventures of a little beret wearing dog, Claude, and his friend, Sir Bobblysock, in the little seaside town of Pawhaven – home to a mix of characters and visitors.",14084,
Hell's Kitchen,,HELL'S KITCHEN,Entertainment,Food and Drink,"Reality series which turns up the heat for varied groups of celebrities and aspiring chefs.  In each series a group undergoes a two week culinary boot camp, individuals competing to become the country's newest Celebrity Chef.",,5404625.1300000008
Beat the Chef,,BEAT THE CHEF,Entertainment,Food and Drink,"This cookery competition format sees skilful amateur cooks go head-to-head against professional chefs in fast-paced cook-offs, as they battle it out to win a £10,000 cash prize.",,47000.0
Future Food,,FUTURE FOOD,Lifestyle,Food and Drink,,,5616.82
This Morning - Supper Club with Joe,This Morning - Supper Club with Joe,,Entertainment,Food and Drink,Joseph invites Nina round for Saffron Risotto before getting stuck into some tricky questions they have to answer.,2655,
Cake Wars: Christmas,Cake Wars: Christmas,,Lifestyle,Food and Drink,American reality competition where expert bakers go head to head with their cake creations.,33748,
John and Lisa's Weekend Kitchen,John and Lisa's Weekend Kitchen,JOHN AND LISA'S WEEKEND KITCHEN,Lifestyle,Food and Drink,John Torode and Lisa Faulkner invite us into their kitchen for a morning of feel good food. Everyone’s welcome from aspiring chefs to beginners and keen home cooks.,306368,161450.0
Un Diner Presque Parfait,,UN DINER PRESQUE PARFAIT,Entertainment,Food and Drink,"The Come Dine With Me format has established itself as one of the world’s most successful television format exports, currently produced into over 2,800 episodes across eleven languages.",,601.93000000000006
The Grape Escape (La Tournee D'Olivier) (French Version),,THE GRAPE ESCAPE (LA TOURNEE D'OLIVIER) (FRENCH VERSION),Lifestyle,Food and Drink,,,5310.56
Cupcake Wars,Cupcake Wars,,Lifestyle,Food and Drink,"Four bakers compete to make cupcakes with best taste and presentation. Three rounds eliminate a contestant. The winner gets to showcase their cupcake presentation at a major event and win $10,000.",73275,
Come Dine with Me (South Africa),,COME DINE WITH ME (SOUTH AFRICA),Entertainment,Food and Drink,"Come Dine with Me South Africa pits amateur chefs against each other, hosting a dinner party for the other contestants. Each competitor then rates the host's performance with the winner winning a cash prize.",,117200.0
Be Tasty,Be Tasty,,Lifestyle,Food and Drink,"A series of cooking tutorials, where famous faces and experts will cook up their favourite signature dishes.",190445,
Vegging Out,,VEGGING OUT,Lifestyle,Food and Drink,"Vegetarian food is currently enjoying unprecedented popularity with more and more people looking for innovative ways to enjoy healthy eating. In this 25-part series, super-cook Celia Brooks Brown prepares a broad selection of vegetarian cuisine.",,0.0
Save Money: Good Food,Save Money: Good Food,,Entertainment,Food and Drink,The Money Saving Good Food Show is an energetic consumer show which shows you how to save thousands of pounds on your yearly food bill by feasting like kings for under five pounds.,104871,
Beautiful Baking with Juliet Sear,Beautiful Baking with Juliet Sear,,Lifestyle,Food and Drink,Juliet Sear is joined by special guests who give their own take on the world of baking.,50265,
BBQ Champ,,BBQ CHAMP,Entertainment,Food and Drink,"Entertainment competition to find the master of the back yard, Britain's best amateur barbecue chef. Filmed at an outdoor HQ talented barbecue chefs are set a series of challenges to test their skills.",,140925.0
Kitchen Nightmares,,KITCHEN NIGHTMARES,Entertainment,Food and Drink,Head Chef Gordon Ramsay descends upon restaurants that are in dire need of a make-over.,,3115956.2399999998
This Morning,This Morning,THIS MORNING,Entertainment,Food and Drink,"A long-running daytime magazine show co-hosted by two presenters live on weekdays since 1988. Features news and topical items, celebrity guests, expert advice, real life stories, competitions and a mix of cookery, health, beauty, lifestyle and more.",3442861,1296200.0
Fish Food,,FISH FOOD,Lifestyle,Food and Drink,"Fishmonger and restauranteur, Mitchell Tonks delves into the world of fish. With the help of local fishermen, fishmongers and wholesalers, he chooses fish, and with the help of members of the public, cooks a selection of recipes.",,0.0
Das Perfekte Dinner,,DAS PERFEKTE DINNER,Entertainment,Food and Drink,"Five strangers compete in this dinner party showdown to take away a cash prize. Each night for a week, one person attempts to cook up the perfect evening while the rival hosts snoop around and go to bizarre lengths to win the competition.",,10139.87
Come Dine With Me (Belgium),,COME DINE WITH ME (BELGIUM),Entertainment,Food and Drink,,,138672.86
The World's Best Diet,,THE WORLD'S BEST DIET,Factual,Food and Drink,"The average British diet is making us fat and unhealthy, with nearly one in four of us in the UK diagnosed clinically obese. In contrast, people in some other countries stay slimmer and live longer, healthier lives. So what’s their secret?",,656.0
Noma,,NOMA,Lifestyle,Food and Drink,"An exciting three-part adventure that documents the creativity, inspiration and journey behind one of the most anticipated culinary events of 2016 – the opening of the noma Australia restaurant at Barangaroo, Sydney.",,6969.76
Dinner Date,Dinner Date,,Entertainment,Food and Drink,Dinner Date puts love on the menu for single guys and girls. Each programme gives one lucky person the chance to find true love over three meals cooked by a blind date in their own home.,1382289,
James Martin's American Adventure,James Martin's American Adventure,,Lifestyle,Food and Drink,"An action-packed, sun-soaked, food-filled road trip across the USA. James Martin's American Adventure is the next leg of the celebrated chef's journey around the world exploring the food, people and places that inspire him.",138467,
